Date,Symbol,Order,Shares
2009-07-17,UNH,SELL,200
2009-07-20,UNH,SELL,200
2009-07-21,UNH,BUY,200
2009-07-22,UNH,BUY,200
2009-07-27,UNH,SELL,200
2009-07-29,UNH,SELL,200
2009-07-30,UNH,BUY,200
2009-08-03,UNH,SELL,200
2009-08-04,UNH,BUY,200
2009-08-05,UNH,SELL,200
2009-08-06,UNH,BUY,200
2009-08-07,UNH,BUY,200
2009-08-10,UNH,SELL,200
2009-08-11,UNH,BUY,200
2009-08-12,UNH,SELL,200
2009-08-13,UNH,BUY,200
2009-08-14,UNH,SELL,200
2009-08-18,UNH,BUY,200
2009-08-26,UNH,SELL,200
2009-08-27,UNH,SELL,200
2009-08-31,UNH,BUY,200
2009-09-01,UNH,BUY,200
2009-09-09,UNH,SELL,200
2009-09-10,UNH,BUY,200
2009-09-15,UNH,SELL,200
2009-09-16,UNH,BUY,200
2009-09-18,UNH,SELL,200
2009-09-21,UNH,BUY,200
2009-09-22,UNH,SELL,200
2009-09-23,UNH,SELL,200
2009-09-25,UNH,BUY,200
2009-09-28,UNH,SELL,200
2009-09-29,UNH,BUY,200
2009-09-30,UNH,SELL,200
2009-10-05,UNH,BUY,200
2009-10-06,UNH,BUY,200
2009-10-08,UNH,SELL,200
2009-10-09,UNH,SELL,200
2009-10-12,UNH,BUY,200
2009-10-14,UNH,BUY,200
2009-10-21,UNH,SELL,200
2009-10-22,UNH,BUY,200
2009-10-26,UNH,SELL,200
2009-10-28,UNH,SELL,200
2009-11-03,UNH,BUY,200
2009-11-04,UNH,BUY,200
2009-11-05,UNH,SELL,200
2009-11-06,UNH,BUY,200
2009-11-10,UNH,SELL,200
2009-11-12,UNH,SELL,200
2009-11-23,UNH,BUY,200
2009-11-24,UNH,BUY,200
2009-11-25,UNH,SELL,200
2009-12-01,UNH,BUY,200
2009-12-02,UNH,SELL,200
2009-12-04,UNH,BUY,200
2009-12-18,UNH,SELL,200
2009-12-21,UNH,BUY,200
2009-12-23,UNH,SELL,200
2009-12-24,UNH,SELL,200
